"
Number",Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,Retun check,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
48,Gucci,C309136,,GGキャンバス シェリーライン トートバッグ,GG Canvas Sherry Line Tote Bag,B,B,,"¥25,300","¥23,000","¥28,750","¥28,000",,2240005517921,FALSE,"¥28,000",,1540,29260,"3,960","3,960",TRUE,C309136,,
49,Loewe,C202686,,ロエベ チャーム キーホルダー,Yellow wool frog bag charm keychain,AB,B,Box dust cover,"¥11,000","¥10,000","¥12,500","¥24,000",,2240005517938,TRUE,"¥11,000",,1540,10560,-440,-440,FALSE,C202686,,
50,Louis Vuitton,C246304,,エピ クラッチバッグ クラッチバッグ,Epi Leather Poche Documents Portfolio Case,AB,A,Box ,"¥41,580","¥37,800","¥47,250",50000,,2240005517945,TRUE,"¥32,000","33,000","1,540",34760,-6820,"-11,220",FALSE,C246304,,
51,Louis Vuitton,C244282,,ハイバリー ダミエ ブラウン ショルダーバッグ,Damier Ebene Highbury,B+,AB,,"¥91,245","¥82,950","¥103,688",120000,,2240005517952,TRUE,"¥77,000","77,000","2,640",82060,-9185,"-9,185",FALSE,C244282,,
52,Louis Vuitton,C268957,,マヒナ ソーラー PM ショルダー バッグ,White Mahina Leather Solar PM Bag,AB,B,,"¥139,359","¥126,690","¥158,363",150000,,2240005517969,FALSE,"¥139,000",,2640,150260,"10,901","10,901",TRUE,C268957,,
53,Louis Vuitton,C261435,,エピ クリュニー ノワール  ショルダーバッグ,Epi Cluny Leather Shoulder Bag Noir,B,B,,"¥41,921","¥38,110","¥47,638",58000,,2240005517976,TRUE,"¥34,000","32,000","1,540",33660,-8261,"-8,261",FALSE,C261435,,
54,Louis Vuitton,C216682,,トランスペアレンス ロックイット イーストウエスト,White Leather Transparent Lockit Handbag,B,B,,"¥62,315","¥56,650","¥70,813",110000,,2240005517983,TRUE,,,990,-988.9,-63303.9,"-8,855",FALSE,C216682,,
55,Louis Vuitton,C122810,,スピーディ30 ハンドバッグ ,"Speedy 30, Monogram, Canvas, M41526",B,BC,,"¥72,765","¥66,150","¥82,688",88000,,2240005517990,TRUE,,,990,-988.9,-73753.9,"-40,205",FALSE,C122810,,
56,Louis Vuitton,C271834,,モノグラム キーポル45 ボストンバッグ,Monogram Keepall 45,B,B,,"¥63,448","¥57,680","¥72,100",72000,,2240005518003,TRUE,"¥55,000","45,000","1,540",47960,-15488,"-19,888",FALSE,C271834,,
57,Louis Vuitton,C269965,,ヴェルニ ペルヴューPM ハンドバッグ,Amarante Monogram Vernis Bellevue GM Tote,B,B,,"¥43,054","¥39,140","¥48,925",51000,,2240005518010,TRUE,"¥32,000",,"1,540",33660,-9394,"-4,994",FALSE,C269965,,
58,Louis Vuitton,C277920,,ヴェルニ ローズウッドアベニュー,Vernis Rosewood Avenue Shoulder Bag,B,B,,"¥57,783","¥52,530","¥65,663",66000,,2240005518027,TRUE,"¥43,000","38,000","1,540",40260,-17523,"-15,323",FALSE,C277920,,
59,Louis Vuitton,C227825,,ダミエ ファセット スピーディ キューブ,White Damier Facet Speedy Cube PM,B,B,,"¥127,000","¥115,455","¥144,318",150000,,2240005518034,TRUE,"¥100,000",,2640,107360,-19640,"-19,640",FALSE,C227825,,130000交渉
60,Louis Vuitton,C260877,,タンブール ラブリー カップ Q12M0 SI2297 シェル ,"Tambour Lovely Cup Q12M0 SI2297 Shell Dial Quartz Watch, Waterproof",B+,B,Box,"¥106,700","¥97,000","¥121,250",130000,,2240005518041,FALSE,"¥101,000","98,000",2640,105160,-1540,"-1,540",FALSE,C260877,,
61,Louis Vuitton,C283570,,カバ イパネマ ハンドバッグ,Pink Cabas Ipanema GM Tote Bag,B+,B,,"¥63,800","¥58,000","¥72,500","¥73,000",,2240005518058,TRUE,,"47,000","1,540",50160,-13640,"-15,840",FALSE,C283570,,
62,Louis Vuitton,C271450,,モノグラム マリニャン,Monogram Marignan leather satchel handbag,B,B,,"¥79,310","¥72,100","¥90,125","¥91,000",,2240005518065,TRUE,"¥81,000","70,000","2,640",74360,-4950,"-4,950",FALSE,C271450,,smell
63,Louis Vuitton,C242615,,モノグラム カードケース,Monogram Canvas Long Wallet Design,B+,B,,"¥17,600","¥16,000","¥20,000","¥20,000",,2240005518072,TRUE,,"6,000",990,5610,-11990,"-15,290",FALSE,C242615,,
64,Fendi,C255048,,フェンディ クラッチバッグ セカンドバッグ,Leather clutch,B,B,,"¥33,000","¥30,000","¥37,500","¥38,000",,2240005518089,TRUE,"¥22,000",,"1,540",22660,-10340,"-11,440",FALSE,C255048,,
65,Gucci,C247993,,GGキャンバス　財布,Beige GG canvas compact wallet,B+,B,,"¥10,868","¥9,880","¥12,350","¥13,500",,2240005518096,FALSE,"¥9,000","9,000",990,8910,-1958,792,FALSE,C247993,,
66,Gucci,C286719,,GGキャンバス　ロングウォレット　長財布,Interlocking GG Beige GG Canvas long wallet,B,B,,"¥9,350","¥8,500","¥10,625","¥11,000",,2240005518102,TRUE,"¥8,000","9,000",¥990,8910,-440,-440,FALSE,C286719,,
67,Gucci,C278875,,グッチシマ トートバッグ ハンドバッグ,Guccissima leather tote handbag,B,B,,"¥19,800","¥18,000","¥22,500","¥23,000",,2240005518119,FALSE,"¥19,000","21,000",1540,21560,1760,"1,760",TRUE,C278875,,
68,Burberry,C256317,,バーバリー ノバチェック ポーチ 巾着,Icon stripe nylon drawcord pouch,B,A,,"¥40,700","¥37,000","¥46,250","¥46,000",,2240005518126,TRUE,,"21,000",1540,21560,-19140,"-19,140",FALSE,C256317,,
