Number,Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo,tracking number
12,Bottega Veneta,C269948,,マキシイントレチャート ラウンドファスナー長財布,Green small cassette zip wallet,B,,,"¥29,380","¥26,709","¥33,386","¥45,000",,2250000697894,"¥29,000","21,000",,1540,21560,-7820,FALSE,C269948,,,
13,Gucci,C229601,,グッチ　シマ　6連キーケース,Black micro guccissima key holder case, AB,,,"¥14,300","¥13,000","¥16,250","¥18,000",,2250000697900,"¥9,000","10,000",,990,10010,-4290,FALSE,C229601,,,
14,Louis Vuitton,C266144,,LV　ブレスレット・フラワーフル ゴールド ,Gold tone flower station bracelet,B+,,,"¥22,000","¥20,000","¥25,000","¥27,000",,2250000697917,"¥18,000","22,000",,1540,22660,660,TRUE,C266144,,,
15,Christian Dior,C284612,,ディオール　レッドトロッター　ネックレス,Red Trotter Plate Pendant Necklace,AB,,,"¥7,150","¥6,500","¥8,125","¥11,000",,2250000697924,"¥8,000",,,990,7810,660,TRUE,C284612,,,
16,Chanel,C252806,,ミラー　ポーチ　スタンプ　3点セット,Black handheld mirror,B+,,,"¥13,565","¥12,332","¥15,415","¥17,000",,2250000697931,"¥9,000","8,000",,990,7810,-5755,FALSE,C252806,,"C252806　￥8800
C251809 ￥ 2310  /　C245255￥2455",
17,Chanel,C254673,,シャネル　アイコニックデザイン　シルク　スカーフ,Silk scarf with iconic Chanel designs,B,,,"¥22,885","¥20,805","¥26,006","¥27,000",,2250000697948,"¥19,000","14,000",,1540,13860,-9025,FALSE,C254673,,,
18,Chanel,C229230,,シャネル ヴィンテージ  イヤリング,Vintage Logo Pearl & Rhinestone Clip-On Earrings,B,,,"¥26,109","¥23,735","¥29,669","¥30,000",,2250000697955,"¥14,000","16,000",,1540,16060,-10049,FALSE,C229230,,C136492　￥50,
19,Hermès,C281668,,1789 LIBERTE EGALITE FRATERNITE REPUBLIQ　1789年フランス革命を記念して,1789 Liberté Égalité Fraternité silk scarf,B+,,,"¥7,260","¥6,600","¥8,250","¥15,000",,2250000697962,"¥11,000",,,1540,10560,3300,TRUE,C281668,,,
20,Hermès,C281664,,カレ 占星術 DIES ET HORE,Astrologie Dies et Hore silk scarf,AB,,,"¥14,520","¥13,200","¥16,500","¥18,000",,2250000697979,"¥10,000","10,000",,990,10010,-4510,FALSE,C281664,,,
21,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
22,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
23,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
24,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
25,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
26,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
27,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
28,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
29,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
30,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
31,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
32,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
33,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
34,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
35,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
36,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
37,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
38,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
39,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
40,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
41,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
42,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
43,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
44,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
45,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
46,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
47,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
48,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,,
