,Brand Name,Ctag,Photo,,Description,Grading,"Ecoring
Grading

",備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
11,Gucci,C281671,,グッチ　ミニスカーフ,silk scarf with horsebit print,B ,,,"¥4,816","¥4,378","¥5,473","¥11,000",,2250000563663,,,,990,,,FALSE,C281671,,
12,Tiffany & Co.,C286328,,クラシック ソリティア 1P ダイヤモンド リング,"Classic Solitaire 1P Diamond Ring, US Size 5.5, Box & Sorting Included",B＋,,,"¥84,975","¥77,250","¥96,563","¥110,000",,2250000563670,"¥50,000","48,000",,1540,51260,-33715,FALSE,C286328,,
13,Hermès,C307662,,"クリッパー ホワイト ダイアル ウォッチ, クオーツ,","Clipper White Dial Watch, Quartz, Waterproof, SS/GP",B,,,"¥27,192","¥24,720","¥30,900","¥40,000",,2250000563687,,,,990,,,FALSE,C307662,,不動
14,Cartier,C284924,,"ダイヤモンド ラブ リング, D(0.44ct), WG750, 6.4g, 13号","Diamond Love Ring, D(0.44ct), WG750, 6.4g, size 13",A,,,"¥119,988","¥109,080","¥136,350","¥150,000",,2250000563687,,,,990,,,FALSE,C284924,,Grayの為出品不可
15,Cartier,C284989,,"3PD ラブ リング, K18PG, 7.3g, 15号","3PD Love Ring, 18K Gold, US Size 7.5",B+,,,"¥134,431","¥122,210","¥152,763","¥170,000",,2250000563694,,,,990,,,FALSE,C284989,,Grayの為出品不可
16,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
17,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
18,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
19,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
20,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
21,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
22,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
23,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
24,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
25,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
26,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
27,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
28,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
29,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
30,,,,,,,,,,¥0,¥0,,,,,,,990,,,FALSE,,,
31,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
32,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
33,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
34,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
35,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
36,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
37,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
38,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
39,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
40,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
41,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
42,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
43,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
44,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
45,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
46,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
47,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
48,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
49,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
50,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
51,,,,,,,,,,¥0,¥0,,,,,,,990,,,,,,
