Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
37,Louis Vuitton,C242136,,"Key Case, Leather",,,,11550.0,,,20000.0,,,9000.0,7000.0,8000.0,990.0,7810.0,,False,,,
38,Louis Vuitton,C221242,,"Wallet, Leather",,,,3300.0,,,12000.0,,,2000.0,2000.0,3000.0,990.0,2310.0000000000005,-550.0,True,,,
39,Louis Vuitton,C238979,,"Key Case, Plastic",,,,9350.0,,,15000.0,,,4000.0,6000.0,8000.0,990.0,7810.0,-1100.0,True,,,
40,Louis Vuitton,C230629,,"Key Case, Leather",,,,8085.0,,,15000.0,,,5000.0,2000.0,5000.0,990.0,4510.0,,False,,,
41,Hermès,C234473,,"Agenda Cover, Leather",,,box,8682.0,,,18000.0,,,9000.0,,,990.0,8910.0,228.0,True,,,
42,Louis Vuitton,C220343,,"Key Case, Plastic",,,,9445.77,,,18000.0,,,4000.0,4000.0,9000.0,990.0,8910.0,-95.77,True,,,
43,Louis Vuitton,C231560,,"Key Case, Plastic",,,,11000.0,,,20000.0,,,5000.0,4000.0,7000.0,990.0,6710.000000000001,,False,,,
44,Gucci,C228791,,"Key Case, Leather",,,box,4000.0,,,12000.0,,,,3000.0,,990.0,2310.0000000000005,,False,,,
45,Chanel,C177381,,"Chain shoulder bag, Matelasse, Leather",,,"box, dustbag",247800.0,,,280000.0,,,226000.0,,,2640.0,245960.00000000003,-1840.0,True,,,
46,Chanel,C162595,,"Chain shoulder bag, Textured leather",,,,407880.0,,,410000.0,,,,,,,,,False,,,
47,Louis Vuitton,C239486,,"Shoulder Bag, Leather",,,,37400.0,,,50000.0,,,28000.0,26000.0,,1540.0,27060.000000000004,,False,,,
48,Louis Vuitton,C225006,,"Key Case, Leather",,,,5085.0,,,12000.0,,,3000.0,2000.0,4000.0,990.0,3410.0,-1235.0,True,,,
49,Louis Vuitton,C216873,,"Wallet, Plastic",,,,15862.0,,,22000.0,,,,,8000.0,990.0,7810.0,,False,,,
50,Jimmy Choo,C225318,,"Key Case, Leather",,,"box, dustbag",2160.0,,,9500.0,,,2000.0,4000.0,,990.0,3410.0,1690.0,True,,,
51,Louis Vuitton,C237347,,"Handbag, Plastic",,,,93555.0,,,120000.0,,,,,,,,,False,,,
52,Chanel,C215766,,"Sunglasses, Plastic",,,,9240.0,,,15000.0,,,1000.0,3000.0,8000.0,990.0,7810.0,,False,,,
53,Chanel,C223384,,"Sunglasses, Plastic",,,,11550.0,,,20000.0,,,12000.0,,,1540.0,11660.000000000002,110.0,True,,,
54,Gucci,C236932,,"Sunglasses, Plastic",,,,6930.0,,,15000.0,,,1000.0,3000.0,3000.0,990.0,2310.0000000000005,,False,,,
55,Ray-Ban,C258027,,"Sunglasses, Plastic",,,,3390.0,,,12000.0,,,5000.0,,,990.0,4510.0,1120.0,True,,,
56,Fendi,C189837,,"Sunglasses, Plastic",,,,11550.0,,,18000.0,,,8000.0,8000.0,6000.0,990.0,5610.000000000001,,False,,,
57,Ray-Ban,C215370,,"Sunglasses, Metal",,,,3390.0,,,12000.0,,,2000.0,3000.0,6000.0,990.0,5610.000000000001,2660.0,True,,,
58,Ray-Ban,C226008,,"Sunglasses, Plastic",,,,2160.0,,,12000.0,,,3000.0,,,990.0,2310.0000000000005,150.0,True,,,
59,Gucci,C213842,,"Sunglasses, Plastic",,,,7345.0,,,15000.0,,,5000.0,6000.0,9000.0,990.0,8910.0,2005.0,True,,,
60,Celine,C240652,,"Sunglasses, Plastic",,,,3240.0,,,10000.0,,,3000.0,,,990.0,2310.0000000000005,-930.0,True,,,
61,Chanel,C222427,,"Sunglasses, Plastic",,,,6798.0,,,20000.0,,,3000.0,3000.0,7000.0,990.0,6710.000000000001,352.0,True,,,
62,Fendi,C221982,,"Sunglasses, Metal",,,,2310.0,,,10000.0,,,3000.0,,,990.0,2310.0000000000005,0.0,True,,,
63,Christian Dior,C226014,,"Sunglasses, Plastic",,,dustbag,5400.0,,,12000.0,,,4000.0,6000.0,,990.0,5610.000000000001,650.0,True,,,
64,Chanel,C216039,,"Sunglasses, Metal",,,,3955.0,,,20000.0,,,2000.0,3000.0,6000.0,990.0,5610.000000000001,2095.0,True,,,
65,Christian Dior,C215227,,"Sunglasses, Plastic",,,,6215.0,,,12000.0,,,1000.0,2000.0,5000.0,990.0,4510.0,-1265.0,True,,,
66,Gucci,C206046,,"Sunglasses, Metal",,,,5670.0,,,15000.0,,,3000.0,4000.0,7000.0,990.0,6710.000000000001,1480.0,True,,,
67,Christian Dior,C215193,,"Sunglasses, Plastic",,,,3850.0,,,12000.0,,,2000.0,2000.0,6000.0,990.0,5610.000000000001,2200.0,True,,,
68,Versace,C216391,,"Sunglasses, Metal",,,case,6480.0,,,13000.0,,,3000.0,4500.0,5000.0,990.0,4510.0,-1530.0,True,,,
69,Christian Dior,C240771,,"Shoulder Bag, Leather",,,,71379.0,,,95000.0,,,58000.0,,67000.0,2640.0,71060.0,121.0,True,,,
70,Givenchy,C242562,,"Handbag, Leather",,,"strap, dustbag",41810.0,,,65000.0,,,,,,,,,False,,,
71,Chloe,C237088,,"Handbag, Leather",,,"strap, dustbag",18080.0,,,30000.0,,,,,13000.0,1540.0,12760.000000000002,-4880.0,True,,,
72,Bulgari,C217072,,"Handbag, Cotton",,,,10450.0,,,30000.0,,,,,,,,,False,,,
73,Burberry,C237728,,"Handbag, Leather",,,,13200.0,,,23000.0,,,12000.0,,,1540.0,11660.000000000002,-1540.0,True,,,
74,Balenciaga,C227302,,"Clutch Bag, Cotton",,,,10450.0,,,25000.0,,,,,7000.0,990.0,6710.000000000001,,False,,,
75,Bottega Veneta,C228451,,"Wallet, Leather",,,box,7700.0,,,20000.0,,,5000.0,9000.0,,990.0,8910.0,1650.0,True,,,
76,Louis Vuitton,C238833,,"Handbag, Plastic",,,,30030.0,,,50000.0,,,,,31000.0,1540.0,32560.0,2970.0,True,,,
77,Louis Vuitton,C243820,,"Backpack, Leather",,,,62150.0,,,85000.0,,,,,45000.0,1540.0,47960.00000000001,,False,,,
78,Louis Vuitton,C227747,,"Crossbody Bag, Plastic",,,,64680.0,,,80000.0,,,49000.0,,40000.0,1540.0,42460.0,,False,,,
79,Louis Vuitton,C245390,,"Shoulder Bag, Plastic",,,,41800.0,,,65000.0,,,,,31000.0,1540.0,32560.0,,False,,,
80,Louis Vuitton,C227402,,"Tote bag, Plastic",,,dustbag,45100.0,,,60000.0,,,44000.0,,,1540.0,46860.00000000001,1760.0,True,,,
81,Louis Vuitton,C244629,,"Handbag, Plastic",,,,49000.0,,,70000.0,,,44000.0,,,1540.0,46860.00000000001,-2140.0,True,,,
82,Louis Vuitton,C227554,,"Shoulder Bag, Plastic",,,,30030.0,,,56000.0,,,,34000.0,,1540.0,35860.0,6270.0,True,,,
83,Louis Vuitton,C241794,,"Keepall 55, Monogram, Canvas",,,,32890.0,,,55000.0,,,,,31000.0,1540.0,32560.0,110.0,True,,,
84,Louis Vuitton,C238917,,"Tote bag, Plastic",,,,147290.0,,,180000.0,,,,,,,,,False,,,
85,Louis Vuitton,C227821,,"Handbag, Plastic",,,"cadena, nametag",28000.0,,,55000.0,,,34000.0,,,1540.0,35860.0,7860.0,True,,,
86,Louis Vuitton,C226673,,"Handbag, Plastic",,,,73645.0,,,95000.0,,,,,,,,,False,,,
87,Louis Vuitton,C237943,,"Tote bag, Plastic",,,,101080.0,,,130000.0,,,,,,,,,False,,,
88,Louis Vuitton,C241869,,"Crossbody Bag, Plastic",,,dustbag,40788.0,,,65000.0,,,,,23000.0,1540.0,23760.000000000004,,False,,,
89,Louis Vuitton,C245104,,"Crossbody Bag, Plastic",,,strap,35200.0,,,50000.0,,,37000.0,,,1540.0,39160.0,3960.0,True,,,
90,Louis Vuitton,C245422,,"Handbag, Plastic",,,,21527.0,,,45000.0,,,26000.0,,,1540.0,27060.000000000004,5533.0,True,,,
91,Christian Dior,C237078,,"Tote bag, Cotton",,,dustbag,254250.0,,,300000.0,,,,,160000.0,2640.0,173360.0,,False,,,
92,Louis Vuitton,C228468,,"Handbag, Plastic",,,,29700.0,,,45000.0,,,,,31000.0,1540.0,32560.0,3300.0,True,,,
93,Chanel,C244786,,"Wallet, Leather",,,card box,30000.0,,,60000.0,,,39000.0,,,1540.0,41360.0,11360.0,True,,,
