Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
72,Chanel,C254088,"Momo repaired
interior powderly, deterioration","Handbag, Leather",,,"card, dsutcover, box",27500.0,,,55000.0,,,,46000.0,,1540.0,49060.00000000001,22000.0,True,,,
73,Chanel,C254095,"Momo repaired
corner rub, damaged button","Shoulder Bag, Leather, lizard",,,"dustcover, card",132000.0,,,170000.0,,,139000.0,,,2640.0,150260.0,33660.0,True,,,
74,Chanel,C254097,"Momo repaired
exterior slight sticky","Tote Bag, Leather",,,dustcover,51700.0,,,75000.0,,,48000.0,62000.0,,2640.0,65560.0,14300.0,True,,,
75,Louis Vuitton,C254091,"Momo repaired
smell","Wallet, Plastic",,,dustcover,24200.0,,,50000.0,,,34000.0,,,1540.0,35860.0,11660.0,True,,,
76,Louis Vuitton,C254093,"Momo repaired
separation strap","Pouch, Plastic",,,,33000.0,,,58000.0,,,,30000.0,32000.0,1540.0,33660.0,,False,,,
77,Louis Vuitton,C254092,"Momo repaired
repaired strap","Pouch, Plastic",,,,27500.0,,,58000.0,,,36000.0,,,1540.0,38060.0,10560.0,True,,,
78,Louis Vuitton,C254094,"Momo repaired
repaired strap","Pouch, Plastic",,,,33000.0,,,58000.0,,,,36000.0,36000.0,1540.0,38060.0,,False,,,
79,Chanel,C224311,some scuff,"Tote bag, Varnished leather",,,,63800.0,,,80000.0,,,,,,,,,False,,,
80,Chanel,C224387,Fabric deterioration,"Chain shoulder bag, Matelasse, Lambskin, Vintage",,,,85880.0,,,100000.0,,,61000.0,61000.0,62000.0,2640.0,65560.0,,False,,,
81,MCM,C239610,B slight sticky,Backpack,,,,13860.0,,,30000.0,,,,,11000.0,1540.0,10560.000000000002,-2860.0,True,,,
82,Chanel,C237801,Fabric deterioration,"Shoulder Bag, Leather",,,pouch,110000.0,,,150000.0,,,91000.0,91000.0,,2640.0,97460.00000000001,,False,,,
83,Chanel,C220809,corner scuffed,"Tote Bag, Leather",,,card,101970.0,,,150000.0,,,,86000.0,,2640.0,91960.00000000001,,False,,,
84,Chanel,C230335,corner rub,"Shoulder Bag, Cotton",,,,266805.0,,,310000.0,,,218000.0,,,2640.0,237160.00000000003,,False,,,
85,Chanel,C239266,some stains,"Handbag, Nylon",,,,26400.0,,,40000.0,,,21000.0,,,1540.0,21560.000000000004,,False,,,
86,Chanel,C238926,"corner rub, some scratches","Shoulder Bag, Leather",,,"box, dustcover, card",277585.0,,,310000.0,,,,236000.0,181000.0,2640.0,196460.00000000003,,False,,,
87,Chanel,C227138,"some stains, scratches","Tote bag, Cotton",,,"dust cover, card",95700.0,,,120000.0,,,86000.0,86000.0,,2640.0,91960.00000000001,,False,,,
88,Fendi,C238895,B,"Shoulder Bag, Cotton",,,,52118.0,,,75000.0,,,,41000.0,,1540.0,43560.00000000001,,False,,,
89,LOEWE,C208083,"scuff, scratches","Shoulder Bag, Leather",,,,25990.0,,,35000.0,,,19000.0,20000.0,,1540.0,20460.0,-5090.0,True,,,
90,Chanel,C167422,stains,"Brooch, Coco mark, Gold plated metal",,,,52118.0,,,75000.0,,,,,,,,9042.0,True,,,
91,Chanel,C215056,,Accessory,,,box,95172.0,,,120000.0,,,,,,,,,False,,,
92,Louis Vuitton,C237052,"B corner rub, slight sticky","Crossbody Bag, Plastic",,,,72320.0,,,90000.0,,,,,,,,,False,,,
93,Louis Vuitton,C216682,peeled handle,"Handbag, Plastic",,,,62315.0,,,80000.0,,,49000.0,,49000.0,1540.0,52360.00000000001,,False,,,
94,Louis Vuitton,C227163,corner piping,"Handbag, Plastic",,,"dustcover, cadena",73216.0,,,85000.0,,,60000.0,,,2640.0,63360.0,,False,,,
95,Louis Vuitton,C232035,stains,Backpack,,,,85880.0,,,100000.0,,,61500.0,,,2640.0,65010.0,,False,,,
96,Fendi,C197607,broken,"Wireless Earbuds, Plastic",,,"box, dustcover",22000.0,,,45000.0,,,,,,,,,False,,,
97,Chanel,C242462,painted exterior,"Wallet, Leather",,,,18000.0,,,30000.0,,,,22000.0,,1540.0,22660.000000000004,5100.0,True,,,
98,Chanel,C239994,grey,"Shoulder Bag, Leather",,,,56650.0,,,70000.0,,,,,,,,,False,,,
99,Gucci,C219808,grey,"Handbag, Leather",,,,17600.0,,,30000.0,,,16000.0,,,1540.0,16060.0,-1540.0,True,,,
100,Louis Vuitton,C246058,peeled interior,"Clutch Bag, Plastic",,,,44000.0,,,55000.0,,,,36000.0,,1540.0,38060.0,-5500.0,True,,,
