Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
5,Louis Vuitton,C238836,,"Alma, Monogram, Canvas, M51130",,,"dustbag, strap",49665.0,,,50000,,,28000.0,,24000.0,1540.0,24860.000000000004,,False,,,exterior darkening
6,Louis Vuitton,C234407,,"Noe, Monogram",,,,27720.0,,,30000,,,16000.0,,,1540.0,16060.0,-11660.0,True,,,"peeling, missing strap"
7,Chanel,C160855,,"Chain shoulder bag, Matelasse, Leather",,,,237930.0,,,200000,,,170000.0,,143000.0,2640.0,154660.0,,False,,,corner damaged (painted)
8,Celine,C221029,,"Shoulder bag, C macadam, Canvas",,,,13596.0,,,15000,,,3000.0,4000.0,,990.0,3410.0,-9746.0,True,,,"stains, scratches"
9,Louis Vuitton,C243376,,"Handbag, Plastic",,,,55000.0,,,58000,,,,29000.0,29000.0,1540.0,30360.000000000004,,False,,,peeling
10,Gucci,C123399,,"Shoulder bag, GG crystal, Coated canvas and leather",,,,27000.0,,,25000,,,,,7000.0,990.0,6710.000000000001,-19850.0,True,,,peeling
11,Hermès,C261512,,"Watch, Clipper Quartz",,,,30800.0,,,25000,,,13000.0,,,1540.0,12760.000000000002,-18040.0,True,,,broken glass
12,Louis Vuitton,C221789,,"Shoulder Bag, Leather",,,,52800.0,,,55000,,,,,,,,,False,,,"interior peeling, smelly"
13,Louis Vuitton,C256951,,"Crossbody Bag, Plastic",,,,62700.0,,,50000,,,,22000.0,,1540.0,22660.000000000004,-39600.0,True,,,leather tear
14,Christian Louboutin,C229268,,"Long wallet, Panettone spike studs, Leather",,,"box, dustbag",19635.0,,,20000,,,7000.0,12000.0,,1540.0,11660.000000000002,-7535.0,True,,,interior darkening
15,Ralph Lauren,C220313,,"Wallet, Leather",,,,8331.2,,,13000,,,,1000.0,1000.0,990.0,110.0,,False,,,
16,Prada,C210553,,"Wallet, Leather",,,,30800.0,,,35000,,,,,10000.0,990.0,10010.0,,False,,,interior darkening
