Number,Brand Name,Ctag,Photo,Description,Grading,Ecoring Grading,備考(付属品）,Cost(price after Tax),Befor Tax,125% Reference prices,Reserved price(指値),相場/Market price,委託番号,1,2,3,Sales commission,result(after tax),Profit / Loss,Sold,C-tag scan,Buyer,Memo
11.0,Chanel,C228409,corner rub 全体焼け擦れ（中）　角擦れ（中）　金具くすみ擦れ（中）　内側汚れ擦れ（中）　小銭入れ汚れ（中）,"Wallet, Leather",,,"box, dustcover",86108.0,,,120000.0,,,85000.0,,,2640.0,90860.00000000001,4752.0,True,,,
12.0,Louis Vuitton,C230704,"peeled paint, scuffed",Coin Case,,,,39270.0,,,52000.0,,,,,21000.0,1540.0,21560.000000000004,,False,,,
13.0,Louis Vuitton,C217118,"coin mark, peeled paint",Coin Case,,,,24926.0,,,45000.0,,,,18000.0,18000.0,1540.0,18260.0,-6226.0,True,,,
14.0,Chanel,C240767,corner rub,"Handbag, Cotton",,,,52118.0,,,75000.0,,,46000.0,,39000.0,1540.0,41360.0,,False,,,
15.0,Louis Vuitton,C226469,,"Wallet, Leather",,,"box, dustbag",24200.0,,,45000.0,,,,,,,,,False,,,
16.0,Chanel,C224918,"exterior darkning, interior stains, scratches","Shoulder Bag, Leather",,,,283250.0,,,350000.0,,,,,182000.0,2640.0,197560.00000000003,,False,,,
17.0,Chanel,C237421,corner rub,"Shoulder Bag, Leather",,,card,135960.0,,,180000.0,,,,,,,,,False,,,
18.0,Chanel,C227063,some stains,"Shoulder Bag, Leather",,,,213675.0,,,250000.0,,,,,,,,,False,,,
19.0,Chanel,C239363,exterior stains,"Shoulder Bag, Leather",,,card,305800.0,,,350000.0,,,,,151000.0,2640.0,163460.0,,False,,,
20.0,Chanel,C241904,peeled corner slight 全体擦れ(中)　補色箇所有　角縁擦れ(中)　持ち手擦れ(中)　ファスナーポケット縁切れ(小)　内側擦れ汚れ傷(中)　外側ポケット汚れ(中),"Handbag, Leather",,,card,175615.0,,,200000.0,,,152000.0,,,2640.0,164560.0,-11055.0,True,,,
21.0,Louis Vuitton,C231913,,Accessory,,,"box, dustcover",16500.0,,,30000.0,,,,,9000.0,990.0,8910.0,,False,,,
22.0,Louis Vuitton,C215608,,"Keepall 55, Monogram, Canvas",,,"name tag, ポワニエ",43000.0,,,65000.0,,,,35000.0,,1540.0,36960.0,-7600.0,True,,,
22.0,Louis Vuitton,C170917,,"Padlock and key, metal",,,,2160.0,,,,,,,,,,,-160.0,True,,,
23.0,Louis Vuitto,C240769,,Handbag,,,,36256.0,,,50000.0,,,,21000.0,21000.0,1540.0,21560.000000000004,,False,,,
24.0,Louis Vuitton,C233816,,"Handbag, Leather",,,,40680.0,,,60000.0,,,53000.0,,,2640.0,55660.00000000001,14980.0,True,,,
25.0,Chanel,C235001,"corner rub, stains","Tote bag, Suede",,,dustbag,49500.0,,,65000.0,,,,35000.0,,1540.0,36960.0,,False,,,
26.0,Louis Vuitton,C223115,"scratches, slight powderly","Handbag, Leather",,,,43054.0,,,60000.0,,,,,26000.0,1540.0,27060.000000000004,,False,,,
27.0,Louis Vuitton,C218017,exterior stains,"Handbag, Leather",,,"dustbag, strap",116699.0,,,140000.0,,,,,,,,,False,,,
28.0,Louis Vuitton,C237664,interior stains,"Handbag, Plastic",,,dustbag,98571.0,,,120000.0,,,,80000.0,80000.0,2640.0,85360.0,,False,,,
29.0,Louis Vuitton,C180332,exterior stains,"Ipanema GM, Damier ebene, Coated canvas",,,,68200.0,,,85000.0,,,,,43000.0,1540.0,45760.00000000001,,False,,,
30.0,Chanel,C227452,,Accessory,,,,23730.0,,,50000.0,,,29000.0,,,1540.0,30360.000000000004,6630.0,True,,,
31.0,Chanel,C232791,,"Clutch Bag, Cotton",,,"dustbag, card",57200.0,,,80000.0,,,,46000.0,,1540.0,49060.00000000001,,False,,,
32.0,Chanel,C217734,nissing parts repaired fake,Accessory,,,,42940.0,,,60000.0,,,37000.0,,,1540.0,39160.0,-3780.0,True,,,
33.0,Chanel,C217988,,Accessory,,,,71379.0,,,90000.0,,,57000.0,,41000.0,1540.0,43560.00000000001,,False,,,
34.0,Chanel,C228425,,"Key Case, Leather",,,"box, card, dustbag",30591.0,,,65000.0,,,,,26000.0,1540.0,27060.000000000004,,False,,,
35.0,Chanel,C251321,broken handle and zipper pull repaired,"Handbag, Leather",,,,43054.0,,,65000.0,,,40000.0,,,1540.0,42460.0,-594.0,True,,,
36.0,Louis Vuitton,C228186,,"Pouch, Leather",,,dustbag,39600.0,,,55000.0,,,,,,,,,False,,,
37.0,Chanel,C221558,,"Sunglasses, Plastic",,,case,7000.0,,,13000.0,,,8000.0,,,990.0,7810.0,810.0,True,,,
38.0,Chanel,C226968,,"Sunglasses, Plastic",,,case,9900.0,,,13000.0,,,9000.0,6000.0,8000.0,990.0,7810.0,,False,,,
39.0,Chanel,C258045,,"Sunglasses, Coco mark, Plastic",,,,17000.0,,,25000.0,,,15000.0,,15000.0,1540.0,14960.0,-1600.0,True,,,
40.0,Chanel,C163363,,"Sunglasses, Coco mark, Plastic and metal",,,"box, case",9720.0,,,13000.0,,,6000.0,7000.0,8000.0,990.0,7810.0,-1470.0,True,,,
41.0,Chanel,C154315,,"Sunglasses, Coco mark, Plastic",,,case,14000.0,,,25000.0,,,,7000.0,,990.0,6710.000000000001,,False,,,
42.0,Chanel,C211709,,"Sunglasses, Plastic",,,,7910.0,,,15000.0,,,10000.0,,,990.0,10010.0,2100.0,True,,,
43.0,Chanel,C177201,,"Sunglasses, Coco mark, Metal",,,,9000.0,,,15000.0,,,4000.0,6000.0,8000.0,990.0,7810.0,-750.0,True,,,
44.0,Chanel,C171875,B-,"Sunglasses, Plastic",,,,4320.0,,,15000.0,,,9000.0,,,990.0,8910.0,4590.0,True,,,
45.0,Ralph Lauren,C220313,,"Wallet, Leather",,,,8331.2,,,20000.0,,,2000.0,1000.0,3000.0,990.0,2310.0000000000005,,False,,,
46.0,Salvatore Ferragamo,C207668,型崩れ,"Wallet, Leather",,,,7150.0,,,20000.0,,,4000.0,11000.0,,1540.0,10560.000000000002,3850.0,True,,,
47.0,Yves Saint Laurent,C217105,slight sticky,"Clutch Bag, Leather",,,,37389.0,,,55000.0,,,,,21000.0,1540.0,21560.000000000004,,False,,,
48.0,Christian Dior,C228102,"corner rub, darkning","Shoulder Bag, Plastic",,,,18360.0,,,45000.0,,,,,,,,,False,,,
49.0,MCM,C185277,"crack, darkning","Backpack, Leather",,,,31640.0,,,50000.0,,,,35000.0,,1540.0,36960.0,5760.0,True,,,
50.0,Louis Vuitton,C207695,tear zipper (repair),Coin Case,,,,22600.0,,,45000.0,,,,,15000.0,1540.0,14960.0,-7200.0,True,,,
51.0,Louis Vuitton,C219104,pocket peeling,"Tote bag, Plastic",,,,102795.0,,,130000.0,,,,,74000.0,2640.0,78760.0,,False,,,
52.0,Louis Vuitton,C226349,"pocket peeling, damaged","Shoulder Bag, Plastic",,,,40700.0,,,65000.0,,,,,30000.0,1540.0,31460.0,-8800.0,True,,,
53.0,Louis Vuitton,C233868,entire damaged,"Clutch Bag, Plastic",,,,16170.0,,,45000.0,,,,,14000.0,1540.0,13860.000000000002,-1870.0,True,,,
54.0,Fendi,C113673,"handle peeling, slight sticky","2 way bag, Textured leather",,,,50600.0,,,80000.0,,,,,31000.0,1540.0,32560.0,,False,,,
55.0,Christian Dior,C215887,sticky exterior,"Handbag, Leather",,,"dustbag, strap, charm",172700.0,,,220000.0,,,,,102000.0,2640.0,109560.00000000001,,False,,,
56.0,Orobianco,C139127,,"2 way bag, Coated canvas and textured leather",,,,16500.0,,,50000.0,,,,,,,,,False,,,
57.0,Givenchy,C220653,some stains,"Tote Bag, Leather",,,pouch,32770.0,,,55000.0,,,,31000.0,,1540.0,32560.0,230.0,True,,,
58.0,Jimmy Choo,C211454,crack handle,"Shoulder Bag, Leather",,,dustbag,11000.0,,,35000.0,,,,,4000.0,990.0,3410.0,,False,,,
59.0,Louis Vuitton,C251647,broken parts,"Handbag, Plastic",,,,32857.0,,,60000.0,,,,,,,,,False,,,
60.0,Louis Vuitton,C214102,tear interior (repair),"Handbag, Leather",,,,26059.0,,,55000.0,,,,,,,,4741.0,True,,,
61.0,Louis Vuitton,C209467,持ちて千切れかけ,"Handbag, Plastic",,,,47586.0,,,65000.0,,,40000.0,,,1540.0,42460.0,-5126.0,True,,,
61.0,Louis Vuitton,C171982,,"Padlock and key, metal",,,,2160.0,,,,,,,,,,,,False,,,
62.0,Fendi,C255180,,"Wallet, Leather",,,"dustbag, box",5775.0,,,35000.0,,,,,6000.0,990.0,5610.000000000001,,False,,,
63.0,Louis Vuitton,C255036,,"Tote bag, Plastic",,,,126500.0,,,250000.0,,,,,,,,,False,,,
64.0,Gucci,C220639,,"Crossbody Bag, Cotton",,,,27120.0,,,70000.0,,,,,,,,,False,,,
65.0,Christian Dior,C254381,,"Tote bag, Cotton",,,,158620.0,,,250000.0,,,175000.0,151000.0,,2640.0,163460.0,,False,,,
66.0,Louis Vuitton,C251290,,"Shoulder Bag, Plastic",,,,42900.0,,,70000.0,,,45000.0,,58000.0,2640.0,61160.00000000001,18700.0,True,,,
67.0,Celine,C251810,mistake 安くてok,"Handbag, Leather",,,,18480.0,,,35000.0,,,18000.0,,,1540.0,18260.0,-220.0,True,,,
68.0,Louis Vuitton,C255225,mistake 安くてok,"Shoulder Bag, Plastic",,,,69300.0,,,85000.0,,,,,,,,,False,,,
69.0,Salvatore Ferragamo,C255381,,"Wallet, Leather",,,,7436.0,,,45000.0,,,,,11000.0,1540.0,10560.000000000002,,False,,,
70.0,Chloe,C255327,,"Shoulder Bag, Leather",,,dustbag,26059.0,,,70000.0,,,,,,,,,False,,,
